source_type,source_index,text
paragraph,0,Тестовый документ для проверки анализа сокращений
paragraph,1,"Этот документ предназначен для проверки трёх задач: распознавания словоформ, выделения уже введённых аббревиатур и определения необходимости ввода новых сокращений."
heading,0,1. Уже объявленные сокращения
paragraph,2,"В подсистеме контроля используется система управления доступом (СУД), которая разграничивает права операторов и администраторов. После объявления сокращения СУД оно должно учитываться как уже введённое."
paragraph,3,Для хранения архивов применяется ЦОД (центр обработки данных). В последующих предложениях аббревиатура ЦОД повторяется без новой расшифровки.
heading,1,"2. Термины, для которых желательно предложить сокращение"
paragraph,4,Автоматизированная система мониторинга событий фиксирует действия пользователей и сохраняет журнал инцидентов. Автоматизированная система мониторинга событий используется в модуле аудита. При тестировании автоматизированная система мониторинга событий показала устойчивую работу.
paragraph,5,Модуль анализа текстовых документов выделяет устойчивые словоформы и сопоставляет их с уже известными аббревиатурами. В отчёте модуль анализа текстовых документов должен быть отмечен как кандидат на сокращение.
paragraph,6,"Распределённая база пользовательских профилей синхронизируется между узлами. Позднее распределённая база пользовательских профилей используется для персонализации интерфейса. Если распределённая база пользовательских профилей упоминается многократно, для неё также можно рекомендовать сокращение."
heading,2,3. Пограничные случаи
paragraph,7,Короткий термин журнал ошибок встречается один раз и обычно не требует отдельной аббревиатуры.
paragraph,8,Рабочая группа анализирует результаты эксперимента. Здесь сочетание рабочая группа встречается редко и не обязано становиться аббревиатурой.
paragraph,9,"Дополнительный пример вынесен в сноску , чтобы проверить извлечение текста из footnotes.xml."
heading,3,4. Что должно обнаружиться при проверке
table_cell,0,Тип результата
table_cell,1,Ожидаемый пример
table_cell,2,Существующая аббревиатура
table_cell,3,СУД — система управления доступом
table_cell,4,Существующая аббревиатура
table_cell,5,ЦОД — центр обработки данных
table_cell,6,Кандидат на сокращение
table_cell,7,автоматизированная система мониторинга событий
table_cell,8,Кандидат на сокращение
table_cell,9,модуль анализа текстовых документов
table_cell,10,Кандидат на сокращение
table_cell,11,распределённая база пользовательских профилей
footnote,0,"В сноске дополнительно указан центр оперативной обработки сообщений (ЦООС), который используется для маршрутизации уведомлений. Аббревиатура ЦООС объявлена прямо в тексте сноски."
